编号,章节,严重度,坏样本,好样本,情感类型,修复方向,源RCA
EE-001,3,medium,咳嗽声 + 撒种口诀 + 一个场景闪回,三选一：(1) 直接删除『外公后来不在了』整句，把情感余波留给 Ch30+ 外公真正退场时使用；(2) 改为更模糊的时间暗示，如『外公那一句在他耳边还没消。很多年了』——保留怀念感但不透剧；(3) 改为角色身体反应而非事实陈述，如『外公那一句在他耳边还没消。他喉咙里堵了一下』——把剧透换成生理锚点，把情感压回 show 通道。推荐方案 1，最简洁也最克制。,forced,三选一：(1) 直接删除『外公后来不在了』整句，把情感余波留给 Ch30+ 外公真正退场时使用；(2) 改为更模糊的时间暗示，如『外公那一句在他耳边还没消。很多年了』——保留怀念感但不透剧；(3) 改为角色身体反应而非事实陈述，如『外公那一,
EE-002,3,low,植物催化觉醒的代价首示,保留第一次（第135段首发），第二次改写为不同感官切入：『他靠在泉石上缓了一会儿。呼吸一口泉气，胸口才慢慢起来』或『他靠在泉石上，左手撑着，半边身子都沉』。让两次代价感分别锚在不同锚点类型（第一次黑屏/绿斑 → 视觉；第二次身体沉 → 本体感）上，累积感更强。,forced,保留第一次（第135段首发），第二次改写为不同感官切入：『他靠在泉石上缓了一会儿。呼吸一口泉气，胸口才慢慢起来』或『他靠在泉石上，左手撑着，半边身子都沉』。让两次代价感分别锚在不同锚点类型（第一次黑屏/绿斑 → 视觉；第二次身体沉 → 本体,
EE-003,3,low,他没动它 / 他没说话 / 他没站起来 / 他没问这是什么 / 他没低头算是多少分钟 / 他没伸手去拦 / 他没咬 / 他没慌 / 他没碰,保留 3-4 处最关键的『他没X』（建议：第7段『他没动它』、第57段『他没说话』、第89段『他没站起来』、第167段『他没碰』），其余替换为具体动作或略去主语。例如第129段『他没低头算是多少分钟。他也没伸手去拦这不合常理的速度。他只是站着看』可简化为『他站着看』——删掉两个『他没X』反而更有力。,forced,保留 3-4 处最关键的『他没X』（建议：第7段『他没动它』、第57段『他没说话』、第89段『他没站起来』、第167段『他没碰』），其余替换为具体动作或略去主语。例如第129段『他没低头算是多少分钟。他也没伸手去拦这不合常理的速度。他只是站,
EE-004,3,low,三分钟到他膝盖。六分钟及腰。十分钟齐肩。半个小时不到，麦穗沉沉,两种方案：(1) 砍掉其中 1-2 个时间节点，只留两个锚点（如『他低头看的时候，麦苗已经到他膝盖。再抬眼，已经齐肩』），把节省的篇幅给感官细节；(2) 把时间列换成身体反应的渐变，如『他蹲着的时候它们到他肩。他站起来的时候它们已经到他胸口』——时间感靠身体重新校准来传达，比数字更沉浸。,forced,两种方案：(1) 砍掉其中 1-2 个时间节点，只留两个锚点（如『他低头看的时候，麦苗已经到他膝盖。再抬眼，已经齐肩』），把节省的篇幅给感官细节；(2) 把时间列换成身体反应的渐变，如『他蹲着的时候它们到他肩。他站起来的时候它们已经到他胸口,
EE-005,3,low,沉静 · 一次性给足,两种处理：(1) 删掉整句，让沉静基调一气呵成——『空气里是刚下过雨的泥土气息。他的呼吸一顿。他蹲下来，伸手碰了一下泉的边缘』；(2) 若要保留文学性，改为主角身体反应而非文学直引，如『这股气息他以前在什么地方闻过——不是现实』，把『桃源感』留在后面的『冷管家播报』里一次性给。,forced,两种处理：(1) 删掉整句，让沉静基调一气呵成——『空气里是刚下过雨的泥土气息。他的呼吸一顿。他蹲下来，伸手碰了一下泉的边缘』；(2) 若要保留文学性，改为主角身体反应而非文学直引，如『这股气息他以前在什么地方闻过——不是现实』，把『桃源感,
EE-006,3,low,心口被攥,两种处理：(1) 明确『心口被攥』的情感性质，如『他的心口忽然被谁攥了一下——像是多年前外公咳完那一声之后他回头看见的那个人不在了的时候那种攥』——一句话就给触发源；(2) 删掉『心口被攥』，让生理反应（绿斑/黑屏）直接承担情感——异能代价首发用身体来写比用心写更能过读者的信任关。推荐方案 2。,forced,两种处理：(1) 明确『心口被攥』的情感性质，如『他的心口忽然被谁攥了一下——像是多年前外公咳完那一声之后他回头看见的那个人不在了的时候那种攥』——一句话就给触发源；(2) 删掉『心口被攥』，让生理反应（绿斑/黑屏）直接承担情感——异能代价,
EE-007,4,medium,他没多想，没哀叹，也没停下。,删除整句或改写为单一生理/行为锚。候选 A（推荐·最克制）：直接删除 L49，L47『剩二十八。』后直接接 L51『档案浮在他意识边缘。』——让读者从沙漏漏格自行体会克制。候选 B：改写为生理锚『他喉头动了一下。』候选 C：改写为物理锚『他指尖在桌沿抹了半寸灰，停住。』三选一即可。,forced,删除整句或改写为单一生理/行为锚。候选 A（推荐·最克制）：直接删除 L49，L47『剩二十八。』后直接接 L51『档案浮在他意识边缘。』——让读者从沙漏漏格自行体会克制。候选 B：改写为生理锚『他喉头动了一下。』候选 C：改写为物理锚『他,
EE-008,4,low,他盯着这条看了一秒。/ 没想起什么。/ 也没假装想起什么。,保留 L71『他盯着这条看了一秒。』及 L77『他把意识从档案里退出来，睁开眼。』之间任选其一：删除 L73+L75 只保留中间空行（留白即信息）；或把 L73-75 改为行为锚『他把目光在那条上停了停，又移开。』,forced,保留 L71『他盯着这条看了一秒。』及 L77『他把意识从档案里退出来，睁开眼。』之间任选其一：删除 L73+L75 只保留中间空行（留白即信息）；或把 L73-75 改为行为锚『他把目光在那条上停了停，又移开。』,
EE-009,4,low,印记跳动,在 Beat 1 中段（L45『脑子里那座沙漏就动了』或 L51『档案浮在他意识边缘』附近）补充一个非生理锚。候选：(a) 视觉锚——沙漏漏格时视野边缘出现一瞬淡金/灰蒙（与 Ch3 黑屏三秒规则不冲突，因消耗量小）；(b) 环境锚——晨雾压过后院那一亩地『土色偏灰一寸』或堂屋桌面薄灰在光里的悬浮；(c) 嗅觉锚——旧账册翻开时纸页霉气。任选一处即可。,forced,在 Beat 1 中段（L45『脑子里那座沙漏就动了』或 L51『档案浮在他意识边缘』附近）补充一个非生理锚。候选：(a) 视觉锚——沙漏漏格时视野边缘出现一瞬淡金/灰蒙（与 Ch3 黑屏三秒规则不冲突，因消耗量小）；(b) 环境锚——晨雾,
EE-010,8,medium,他知道陈默吃不下。他自己也吃不下。,三选一：(1) 直接删除整句 L229「他知道陈默吃不下。他自己也吃不下。」——让 L231「陈默把筷子搁在筷枕上」+ 后续的筷枕·扶眼镜·看他一秒 自然推进；(2) 保留一半改生理锚：「他也动了一下筷子，没落下去。」；(3) 极保留版：压缩为一句冷克制内心锚「两人都没再动筷。」推荐方案 1。,earned,三选一：(1) 直接删除整句 L229「他知道陈默吃不下。他自己也吃不下。」——让 L231「陈默把筷子搁在筷枕上」+ 后续的筷枕·扶眼镜·看他一秒 自然推进；(2) 保留一半改生理锚：「他也动了一下筷子，没落下去。」；(3) 极保留版：压,
