编号,章节,严重度,坏样本,好样本,子维度,修复方向,源RCA
AV-001,4,medium,方向变了。  不是昨晚那条路。…鞋印还是偏小。  纹路一样细。  走的节奏没变——不急。,保留作为节奏点的 3-4 处（如首幕的'方向变了。'、尾幕的'还有一个。'），把中段纯内心确认式短句（'糊了。'/'没想起什么。'/'也没假装想起什么。'/'他没再逼。'/'他知道不能再逼。'）中至少 1/3 并回前一段，降低'每拍都落子'的机械断感。,narrative,保留作为节奏点的 3-4 处（如首幕的'方向变了。'、尾幕的'还有一个。'），把中段纯内心确认式短句（'糊了。'/'没想起什么。'/'也没假装想起什么。'/'他没再逼。'/'他知道不能再逼。'）中至少 1/3 并回前一段，降低'每拍都落子',
AV-002,4,low,走的节奏没变——不急。 / ——周二傍晚 18:40 至 19:10… / 不是教数学的那种敲法，不是教语文的那种敲法，是另外一种 / ——跳得比昨天，重一点。,把句中补注式破折号的其中 2 处改回自然句，例如'走的节奏没变，还是不急。' / '掌心跳得比昨天重一点。'——保留'——'给真正有气口作用的地方。,syntax,把句中补注式破折号的其中 2 处改回自然句，例如'走的节奏没变，还是不急。' / '掌心跳得比昨天重一点。'——保留'——'给真正有气口作用的地方。,
AV-003,4,low,血色纹路从细线处一丝一丝扩开 / 后颈又凉了一下。手心出了一点汗。…手心黏着一层汗。,第二次'后颈又凉了一下'可以替换为具体生理反应（'后颈一层细汗'或'后颈像被风贴了一下'），避免同章两次完全相同句式。,vocab,第二次'后颈又凉了一下'可以替换为具体生理反应（'后颈一层细汗'或'后颈像被风贴了一下'），避免同章两次完全相同句式。,
AV-004,5,critical,但节律比Ch4末那一回稳,必须改。替换为叙事化前指：但节律比前一次稳 / 但比上回院里那一下稳 / 但比昨天夜里那一回稳。推荐：但节律比前两天院里那两回都稳——用时间和地点代替章节编号，同时把 Ch4末 这种元信息完全抹掉。原因：小说内时间线必须用小说内语言表达，章节号是作者的脚手架而不是叙事。,vocab,必须改。替换为叙事化前指：但节律比前一次稳 / 但比上回院里那一下稳 / 但比昨天夜里那一回稳。推荐：但节律比前两天院里那两回都稳——用时间和地点代替章节编号，同时把 Ch4末 这种元信息完全抹掉。原因：小说内时间线必须用小说内语言表达，章,
AV-005,5,high,她的声音不大，不润,删掉不润，改为：她的声音不大，带着粉笔灰的喉咙自己会有的那种薄哑；或口语化替代：她的声音不大，有点哑。原因：单字节否定形容词在现代口语里不成立。,vocab,删掉不润，改为：她的声音不大，带着粉笔灰的喉咙自己会有的那种薄哑；或口语化替代：她的声音不大，有点哑。原因：单字节否定形容词在现代口语里不成立。,
AV-006,5,high,视野像被人从外面轻轻一花,改成更老实的表达：视野像被人从外面轻轻晃了一下 / 视野像蒙了一层薄纱被人从外面轻轻推了推 / 视野忽然像隔了层水雾。如要保留花的陌生化感，可写成眼前轻轻花了一下（用口语惯用搭配），但不推荐。原因：新鲜比喻的底线是语法可解析，一花这种造词把读者挡在文字外面。,vocab,改成更老实的表达：视野像被人从外面轻轻晃了一下 / 视野像蒙了一层薄纱被人从外面轻轻推了推 / 视野忽然像隔了层水雾。如要保留花的陌生化感，可写成眼前轻轻花了一下（用口语惯用搭配），但不推荐。原因：新鲜比喻的底线是语法可解析，一花这种造词把,
AV-007,5,high,她的第二句话里，带着一个名字。,直接删掉两句。让文本自然停在林晚秋说朵朵在等我，然后接陆沉的动作。若必须保留人物反应，改成一个细节动作：朵朵这两个字落在雨声里，他没有接。原因：文学密度 = 信息量 / 字数，这两句属于纯降密度的作者解说。,vocab,直接删掉两句。让文本自然停在林晚秋说朵朵在等我，然后接陆沉的动作。若必须保留人物反应，改成一个细节动作：朵朵这两个字落在雨声里，他没有接。原因：文学密度 = 信息量 / 字数，这两句属于纯降密度的作者解说。,
AV-008,5,high,这是一个语文老师用了一天带课的手,改成：这是一个语文老师带了一天课的手，下班路上从菜市场提回来、然后在厨房站了大概四十分钟做出来的一份饭。原因：中文定语应顺着走，让动作和身体部位的所有关系自然贴合。,vocab,改成：这是一个语文老师带了一天课的手，下班路上从菜市场提回来、然后在厨房站了大概四十分钟做出来的一份饭。原因：中文定语应顺着走，让动作和身体部位的所有关系自然贴合。,
AV-009,5,medium,他在心里极轻地说了一声,四处极轻/极细/极浅里挑两处改掉。比如这里他在心里极轻地说了一声改成他在心里说了一声或他在心里轻轻说了一声；用钢笔极细地，添了一道更浅的横改成用钢笔细细添了一道更浅的横。原因：副词节奏的多样性是母语作者和 AI 最显著的差异之一。,vocab,四处极轻/极细/极浅里挑两处改掉。比如这里他在心里极轻地说了一声改成他在心里说了一声或他在心里轻轻说了一声；用钢笔极细地，添了一道更浅的横改成用钢笔细细添了一道更浅的横。原因：副词节奏的多样性是母语作者和 AI 最显著的差异之一。,
AV-010,5,medium,是前世那一句不用了的对面,改成：不是应付。是答应。是前世那一句不用了的反面——是这一世他能说出来的、最轻也最重的两个字。把对面改反面读感更顺；或砍掉中间那一句，只留 不是应付。是答应。,vocab,改成：不是应付。是答应。是前世那一句不用了的反面——是这一世他能说出来的、最轻也最重的两个字。把对面改反面读感更顺；或砍掉中间那一句，只留 不是应付。是答应。,
AV-011,5,medium,最轻也最重的一个字眼,改成最轻也最重的两个字。与前文两个字。不是应付。是答应。形成闭环。,vocab,改成最轻也最重的两个字。与前文两个字。不是应付。是答应。形成闭环。,
AV-012,5,medium,把他那一侧让了出来,改成：她开口的时候，把伞往自己这边斜了斜，把他那边让了出来。口语化一点，雨夜门口的氛围会更自然。,vocab,改成：她开口的时候，把伞往自己这边斜了斜，把他那边让了出来。口语化一点，雨夜门口的氛围会更自然。,
