编号,章节,严重度,坏样本,好样本,禁区类型,修复方向,源RCA
CV-001,2,critical,**数据漂移 · 27 分差**：state.chapter_meta.0002.checker_scores.flow-checker = **88**（overall=90 的加权项之一）；但 .webnovel/tmp/flow_check_ch0002.json.overall_score = **61**，pass=**false**（issues: 3 medium + 5 low ·,,设定矛盾,audit B 层 B1 fail · 参 audit_reports/ch0002.json,
CV-002,2,high,.webnovel/tmp/reader_critic_ch0002.json 存在：overall_score=76 · pass=true · 3 high problems（期货 347 万爽得太突兀 · 深灰夹克男消失无交代 · 印记红色发丝铺垫不足）+ 5 medium + 2 low。但 state.chapter_meta.0002.checker_scores 里完全无 reade,,关系漂移,audit B 层 B2 fail · 参 audit_reports/ch0002.json,
CV-003,2,high,state.chapter_meta.0002.naturalness_verdict = 'PASS（预估·完稿实际 reader 视角流畅度未跑 checker）'；data-agent 处理报告第七节也说『POV 纯度 third_limited 贴身 · 无 OOC/全知漂移 · ✅ 合规』但未给出 checker 产物路径。.webnovel/tmp/ 下无 naturalness_ch,,时间线漂移,audit B 层 B3 fail · 参 audit_reports/ch0002.json,
CV-004,2,medium,context_contract.beat_plan.B4.forbidden_this_beat 明文『严禁 5 秒签 50 万·博弈必须有中段让步/僵持的来回感』；context_contract.mechanism_freeze.MF-老板3轮博弈 明文 3 轮 + 中段 30-40 秒僵持。summary 和 data-agent 处理报告都声称『三轮博弈』。但正文 L157-196 实际,,战力越权,audit B 层 B4 fail · 参 audit_reports/ch0002.json,
CV-005,2,critical,**四处产物三套说法**：(1) Ch1 L1 『晚上十一点四十七分』跪于月台（未标日期）；(2) Ch1 L68-70 日历 2026-04-15 + 『几个小时前他死在月台。现在还是同一天的早上』（隐含死亡时间在 4-15 凌晨或 4-14 晚）；(3) Ch2 L267-269 『时间戳：2026-04-15 23:47。就是昨晚他死在大东门站月台的那一刻』（Ch2 发生在 4-15 深夜 ,,战力越权,audit B 层 B5 fail · 参 audit_reports/ch0002.json,
CV-006,3,medium,CLI 报「review report score was not found」但 agent 复核：审查报告/第0003章审查报告.md §三声明 overall_score = 85 + index.db latest combined_score = 85.0 + state.chapter_meta['0003'].review_metrics 一致 85 — 三源数值一致，仅 CLI 正,,战力越权,audit B 层 B4 warn · 参 audit_reports/ch0003.json,
CV-007,3,high,章纲（第1卷-详细大纲.md Ch3 节拍规划）写 D-28 / 2026-04-17 傍晚→深夜；实际 context snapshot + summary + 正文一致为 D-29 / 2026-04-16 清晨→深夜。3/4 源一致，章纲为 v6 规划期版本未随 Ch2 D-30 确认后回填。非本章硬冲突，以 context snapshot 为写作执行权威。,,关系漂移,audit B 层 B8 warn · 参 audit_reports/ch0003.json,
CV-008,4,critical,陆沉睡了两觉。第一觉是回来那天下午…第二觉是昨夜，种了那颗麦种、催出第一穗、手心空了一块之后…这是第二天清晨。,两条修复路径择一：(A) 若坚持 Ch4=D-27（周六），把 L5 改为『这已经是第三天的清晨』或『中间那一天他没出院门』，L3『第二觉是昨夜』改为『第二觉是前夜』或『第二觉是前天夜里』，L41『昨天傍晚到夜里』改为『前夜、前前夜，这栋老宅周边』；(B) 若把 Ch4 回调为 D-28（周五），则需同步改 state.json.chapter_meta.0004.time_anchor + co,时间线漂移,两条修复路径择一：(A) 若坚持 Ch4=D-27（周六），把 L5 改为『这已经是第三天的清晨』或『中间那一天他没出院门』，L3『第二觉是昨夜』改为『第二觉是前夜』或『第二觉是前天夜里』，L41『昨天傍晚到夜里』改为『前夜、前前夜，这栋老,
CV-009,4,critical,——周二傍晚 18:40 至 19:10，合肥郊区某小巷，有一名女性在陆氏老宅周边短暂停留，未进院，方向从东向西，停留时长不超过三十分钟。,把 L53『周二傍晚』改为『昨夜约 00:10 至 00:40』或『前夜二十三点过后』（对应 Ch3 末深夜 24:00 左右的脚印时间窗）。若坚持保留『周X傍晚』节律，改『周四傍晚』最合规（Ch3 正是周四，档案可合理定位林晚秋傍晚送朵朵回家经过）。并保留『方向从东向西』等其它半条，只换时间锚。,时间线漂移,把 L53『周二傍晚』改为『昨夜约 00:10 至 00:40』或『前夜二十三点过后』（对应 Ch3 末深夜 24:00 左右的脚印时间窗）。若坚持保留『周X傍晚』节律，改『周四傍晚』最合规（Ch3 正是周四，档案可合理定位林晚秋傍晚送朵朵,
CV-010,4,medium,第一觉是回来那天下午，从公墓回到外公这栋两层老宅，靠在堂屋的旧沙发上，闭眼就陷下去。,两条择一：(A) 删除『从公墓』三字，改为『从养老院回到外公这栋两层老宅』（与 Ch3 实际行程对齐，state/context 全部自洽）；(B) 保留公墓线但需补最小化铺垫——在 state.json.supporting_characters.family 或 settings/主角卡.md 补登一行外婆已故的设定，并在下一次 data-agent 回写时同步补入 Ch3 summary 的,设定矛盾,两条择一：(A) 删除『从公墓』三字，改为『从养老院回到外公这栋两层老宅』（与 Ch3 实际行程对齐，state/context 全部自洽）；(B) 保留公墓线但需补最小化铺垫——在 state.json.supporting_charac,
CV-011,4,low,她原本是要送那个六岁的小女孩去学校，送到巷口转弯处，孩子自己往学校方向蹦着走了,跟随 CONT_001 的修复路径一并处理。若定 D-27 周六，补一笔『周六上午朵朵去学校上兴趣班/补课』或把『学校』改为『奶奶家/培训班』。若定 D-28 周五，本条可直接删除。,时间线漂移,跟随 CONT_001 的修复路径一并处理。若定 D-27 周六，补一笔『周六上午朵朵去学校上兴趣班/补课』或把『学校』改为『奶奶家/培训班』。若定 D-28 周五，本条可直接删除。,
